rank,movie_name,release_year,audience_rating,gross_earnings,director(s)
577,Shutter Island,2010,R,294942469,Martin Scorsese
578,Doctor Dolittle,1998,PG-13,294456605,Betty Thomas
579,Bee Movie,2007,PG,293514336,"Simon J. Smith, Steve Hickner"
580,Salt,2010,PG-13,293503354,Phillip Noyce
581,G-Force,2009,PG,292817898,Hoyt Yeatman
582,Five Nights at Freddy's,2023,PG-13,291493620,Emma Tammi
583,The Departed,2006,R,291481358,Martin Scorsese
584,What Lies Beneath,2000,PG-13,291420351,Robert Zemeckis
585,Pacific Rim: Uprising,2018,PG-13,290930148,Steven S. DeKnight
586,The Bourne Supremacy,2004,PG-13,290835269,Paul Greengrass
587,Sex and the City 2,2010,R,290745055,Michael Patrick King
588,Shakespeare in Love,1998,R,289317794,John Madden
589,Divergent,2014,PG-13,288885818,Neil Burger
590,Coming to America,1988,R,288752301,John Landis
591,Elvis,2022,PG-13,288670284,Baz Luhrmann
592,Wedding Crashers,2005,R,288485135,David Dobkin
593,Maze Runner: The Death Cure,2018,PG-13,288175335,Wes Ball
594,Casper,1995,PG,288039549,Brad Silberling
595,American Pie 2,2001,R,287553595,J.B. Rogers
596,Pitch Perfect 2,2015,PG-13,287144079,Elizabeth Banks
597,The Green Mile,1999,R,286801374,Frank Darabont
598,Oblivion,2013,PG-13,286168572,Joseph Kosinski
599,Elysium,2013,R,286140700,Neill Blomkamp
600,Lethal Weapon 4,1998,R,285444603,Richard Donner
601,John Carter,2012,PG-13,284139100,Andrew Stanton
602,Turbo,2013,PG,282570682,David Soren
603,Paddington,2014,PG,282463312,Paul King
604,The Tourist,2010,PG-13,278780441,Florian Henckel von Donnersmarck
605,Split,2016,PG-13,278454417,M. Night Shyamalan
606,Scary Movie,2000,R,278019771,Keenen Ivory Wayans
607,xXx,2002,PG-13,277448382,Rob Cohen
608,Blade Runner 2049,2017,R,276605984,Denis Villeneuve
609,Creed III,2023,PG-13,276148615,Michael B. Jordan
610,The Bourne Legacy,2012,PG-13,276144750,Tony Gilroy
611,Mr. Peabody & Sherman,2014,PG,275698039,Rob Minkoff
612,Scooby-Doo,2002,PG,275679958,Raja Gosnell
613,Lincoln,2012,PG-13,275293450,Steven Spielberg
614,Tomb Raider,2018,PG-13,274950803,Roar Uthaug
615,Lara Croft: Tomb Raider,2001,PG-13,274703340,Simon West
616,The Expendables,2010,R,274470394,Sylvester Stallone
617,Cloudy with a Chance of Meatballs 2,2013,PG,274325949,"Cody Cameron, Kris Pearn"
618,The Nutty Professor,1996,PG-13,273961019,Tom Shadyac
619,Jerry Maguire,1996,R,273552592,Cameron Crowe
620,Bad Boys II,2003,R,273340010,Michael Bay
621,Lilo & Stitch,2002,PG,273147061,"Dean DeBlois, Chris Sanders"
622,The Silence of the Lambs,1991,R,272742922,Jonathan Demme
623,Grown Ups,2010,PG-13,271457606,Dennis Dugan
624,The Flash,2023,PG-13,271433313,Andy Muschietti
625,Neighbors,2014,R,270665134,Nicholas Stoller
626,The Firm,1993,R,270248367,Sydney Pollack
627,We're the Millers,2013,R,269994119,Rawson Marshall Thurber
628,Gran Torino,2008,R,269958228,Clint Eastwood
629,"10,000 BC",2008,PG-13,269784201,Roland Emmerich
630,American Gangster,2007,R,269755430,Ridley Scott
631,The Nun II,2023,R,269667073,Michael Chaves
632,Epic,2013,PG,268426634,Chris Wedge
633,Exodus: Gods and Kings,2014,PG-13,268175631,Ridley Scott
634,This Is It,2009,PG,267983588,Kenny Ortega
635,Bambi,1942,Approved,267447150,"James Algar, Samuel Armstrong, David Hand"
636,The Princess and the Frog,2009,G,267056816,"Ron Clements, John Musker"
637,Batman Returns,1992,PG-13,266940655,Tim Burton
638,Indecent Proposal,1993,R,266614059,Adrian Lyne
639,Something's Gotta Give,2003,PG-13,265328738,Nancy Meyers
640,Bridget Jones: The Edge of Reason,2004,R,265126918,Beeban Kidron
641,The Incredible Hulk,2008,PG-13,264770996,Louis Leterrier
642,Waterworld,1995,PG-13,264218220,Kevin Reynolds
643,The Truman Show,1998,PG,264118712,Peter Weir
644,Charlie's Angels,2000,PG-13,264105545,McG
645,The Fifth Element,1997,PG-13,263920180,Luc Besson
646,Jumanji,1995,PG,262821940,Joe Johnston
647,Borat,2006,R,262552893,Larry Charles
648,Robots,2005,PG,262511490,"Chris Wedge, Carlos Saldanha"
649,Parasite,2019,R,262129969,Bong Joon Ho
